scan_name,proposed_scan_group,note
shipment arrived at incorrect facility it will be sent to the correct destination for delivery,,
broker has been notified to arrange clearance,,
an authorized request has been received to dispose of the shipment,,
consignee has moved from the address provided,,
the requested service for your shipment has been changed,,
shipment delivery to be re scheduled,,
supplementary information has been received and merged with applicable shipment data,,
shipment has departed from a dhl facility,,
processed for clearance at,,
arrived facility,,
shipment pickup,,
on hold,,
record of transit,,
arrival in delivery facility,,
returned to consignor,,
with delivering courier,,
in clearance processing,,
held for payment,,
agreed delivery,,
not home,,
shipment acknowledged,,
not delivered,,
shipment delivered san jose logistic center ca usa,,
customer moved,,
forwarded to third party delivery agent delivery details expected,,
awaiting consignee collection,,
bad address,,
missed delivery cycle,,
shipment has departed from a dhl facility vitoria bra,,
response received,,
clearance release,,
scheduled for movement,,
delivery,,
shipment stopped,,
missort,,
closed shipment,,
destroyed/disposal,,
parcel reconsigned for onward journey return to consignor,,
delivered received by,,
delivered to private address,,
delivered .*signed for by,,
on vehicle for delivery,,
the parcel is in transit on its journey to local delivery destination,,
your parcel has left the united kingdom and is on its way to,,
the parcel is in transit on its way to its final destination,,
sorted by offshore gateway,,
sorted by distribution centre,,
returned to depot,,
confirmed at hub,,
return to depot,,
parcel left depot,,
international hub non compatible in transit,,
international hub in transit,,
exported by international gateway to dpd group,,
confirmed at gateway,,
confirmed at depot,,
delivery loaded,,
confirmed at dpd pickup shop,,
collected parcel from dpd pickup shop,,
parcel reconsigned for onward journey alternative address,,
held by depot,,
held delivery date rescheduled,,
delivered to pickup shop sms notification proof of delivery sms notification sent,,
left with authorisation,,
leave in a safe place requested,,
delivery to dpd pickup shop requested,,
delivered delivered to pickup,,
delivery exception,,
unable to deliver delivery premises closed,,
held by depot delivery premises closed,,
ofd sms notification between.*out for delivery sms notification sent,,
ofd email notification out for delivery e mail notification sent,,
redelivery request made for.*,,
delivery to dpd pickup shop after unsuccessful delivery attempt not home,,
unable to deliver b2c delivery,,
ofd sms notification.*out for delivery sms notification sent,,
pending consignee information or duty payment,,
customs cleared,,
delivered.*left with neighbour,,
^delivered$,,
collected from self labeller,,
confirmed at.*pickup point,,
collected parcel from.*pickup point,,
customer data received,,
delivered.*left in safe place,,
delivered to requested dpd pickup shop,,
delivered by,,
delivered contactless received by,,
picked up from dpd pickup shop collected by,,
out for delivery,,
unable to deliver notification received,,
redelivery request bookin made,,
unable to deliver calling card left,,
customs clearance in progress,,
delivered.*left in a safe place,,
exported by international gateway,,
duty paid,,
consolidation scan,,
forwarded to.*exports,,
forwarded to.*depot,,
leave in safe place has been requested,,
customs examination,,
under customs clearance,,
unable to contact consignee,,
parcel held,,
delivered manifest delivery received by,,
delivered contactless by,,
forwarded to ioss eindhoven de,,
forwarded to.*gateway,,
ofd sms notification,,
ofd email notification,,
collected from sender,,
delivered email notification,,
held receiver refused to pay on delivery,,
delayed at hub,,
awaiting power of attorney poa from consignee,,
there s a delay with your parcel in transit shipment delayed,,
customs clearance error,,
returned to sender,,
customs clearance cancelled,,
forwarded to.*non prio zips,,
forwarded to mps.*,,
redirected to depot,,
unable to deliver recipient absent,,
confirmed on route,,
picked up by consumer,,
received at pickup,,
recipient absent on second delivery attempt,,
shipment delayed,,
forwarded to pre paid.*,,
ofd email and sms notification,,
unable to deliver address query,,
delivered with consignee s authority,,
parcel label applied,,
further instructions requested,,
return to consignor has been requested,,
no response to request for further instructions,,
delivered to pickup point email notification,,
incorrect/missing eori,,
consignee refuses to pay taxes and duties,,
ofd email notification between.*,,
returned via 3rd party supplier,,
delivered to alternative address received by.*,,
parcel seen at depot,,
held in customs other reasons,,
unable to deliver delivery date rescheduled,,
held in customs additional info required,,
vat / personal id no required,,
unable to deliver reason unknown,,
delivery to dpd pickup shop.*requested,,
delayed on route route delay sms route delay e mail notification sent,,
deliver to neighbour requested,,
delivered to pickup point sms notification,,
delivery to dpd pickup point after unsuccessful delivery attempt not home,,
delivered with consignee s authority.*,,
ofd email and sms notification between,,
ofd email notification between,,
ofd sms notification between,,
picked up by consumer by,,
ready for collection email sent successfully,,
unable to deliver insufficient time,,
late arrival in transit,,
retrieved from pickup,,
forwarded to.*,,
reconsign data received,,
returned by customer,,
parcel reconsigned for onward journey,,
change delivery date requested,,
return holding / storage limit expired,,
the parcel has been delivered,,
the parcel is ready to be collected from the local pickup point,,
the parcel has been received at the local pickup point,,
the parcel is being returned due to a query with the address,,
the parcel is in transit to its final destination,,
the parcel is undergoing customs clearance,,
the parcel has now cleared customs,,
the parcel is on the vehicle for delivery,,
the parcel has arrived at the delivery depot,,
duties and taxes have been paid,,
unable to deliver recipient absent.*,,
unable to deliver recipient on holiday.*,,
unable to deliver refused.*,,
unable to locate.*,,
delivery to neighbour has been requested if recipient is not in to receive the item delivery to neighbour,,
the parcel is being returned,,
the receiver has been advised of when their delivery will take place between.*,,
unable to deliver,,
redelivery request deliver to neighbour made,,
the receiver has been advised of when their delivery will take place,,
the parcel is currently being held in customs awaiting.*from the receiver,,
the parcel is being examined by customs this is normal but can result in a delay,,
we were unable to contact the receiver about their parcel,,
there has been a delay with the delivery,,
the parcel is being held in customs as it requires an eori to be provided,,
the parcel will now be delivered to the selected safe place as requested,,
the parcel has been collected by,,
the receiver has been advised of when their delivery will take place between,,
the parcel is held awaiting authorisation from the importer for customs clearance,,
the parcel is being held in customs awaiting vat/id number from the receiver,,
the parcel could not be delivered as there is a query with the delivery address,,
return holding.*storage limit expired,,
ready for collection pickup,,
the parcel has been collected by.*,,
there s a delay with your parcel at our collection depot,,
we have sent an email to confirm the parcel is ready to be collected,,
redelivery request new address made for.*,,
there s a delay with your parcel in transit,,
delivery refused.*,,
unable to deliver uncontrollable event,,
the parcel will now be delivered to a neighbour as requested,,
unable to deliver refused not required,,
unable to deliver address changed,,
the parcel is being held in customs as there was a refusal to pay the duties/taxes,,
the parcel has been collected,,
there has been a delay with your delivery,,
delivery signature image available,,
parcel can no longer be delivered,,
the parcel is currently being held in customs awaiting further information,,
the parcel is being held in customs as we require additional information,,
exported by wndirect,,
international held in hub export screen processing error temporarily unable to assign supplier,,
collected from depot received by.*,,
the parcel is being held in customs,,
the parcel will now be delivered on an alternative date as requested,,
the parcel is on hold in customs as the customs data or invoice is missing,,
redelivery request leave in safe place made,,
the parcel is currently being held as we require contact information,,
redirected to.*depot,,
the parcel is at the local depot where a new delivery date has been scheduled,,
delivery to alternative address has been requested,,
delivery attempt made parcel brought back to our depot,,
delayed on route,,
the parcel is currently held in customs after being refused,,
duty and tax payments are required to customs clear the parcel,,
a reminder of the outstanding duty and tax charges has been sent,,
delivered left at 41 received by wendy,,
delivered left at 11 received by greyam,,
delivered left at 04 received by smith,,
delivered left at 170 stellisons received by anx,,
image requested for carrier image exported to carrier,,
parcel retrieved from dpd pickup shop,,
delivered specified safe place received by left as instructed,,
image available,,
the parcel is held in the local depot,,
international held in hub missing info from invoice incomplete consignment,,
delivered left at unit 10 received by jim,,
customer authorisation image available,,
international held in hub booked in missed connection,,
delivery to dpd pickup shop not possible collect from pickup apology sms notification sent,,
delivered left at 11 received by hampton,,
delivered to requested dpd pickup locker,,
picked up from dpd pickup locker,,
redelivery request service upgrade made for sun 16 june 2024 between 07 00 and 22 00 upgrade acknowledgement sms notification sent,,
delivered left at 195 received by toolstation,,
delivered left at 2 received by jones,,
we attempted to deliver the parcel however there was no one present to sign for it,,
delivered left at unit 15 received by ben,,
delivered left at 1 the garden received by jacob saraha,,
delivered left at 11 received by lloyd d,,
delivered left at unit 2 jm clark received by asal,,
delivered left at 48 received by newton,,
delivered left at uk electricals whole sale trade counter offic2 received by sam,,
aviation scan,,
international held in hub con note no data entry copy/description,,
carded,,
delivered left at 1 received by h greaves,,
delivered left at maydencroft received by james,,
redelivery request service upgrade made for tue 27 february 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,,
delivered left at security office received by rubly,,
delivered left at 1 the garden received by jacob sara,,
delivered left at jjs cafe received by jjs cafe,,
imported by international gateway from dpd group,,
the parcel is at the local depot awaiting a suitable time to deliver,,
the parcel has now been collected from the local pickup point,,
delivered left at 11 received by pharmacy,,
delivery to dpd pickup locker bp somerby hill service station requested not home sms not home e mail notification sent,,
collected from depot received by james,,
delivered left at brynawelon received by evans,,
held in depot,,
delivered left at 40 received by aaron,,
delivered left at 25 received by garry,,
delivered left at 30 rose received by rose,,
delivered left at a1 received by adam,,
delivery to dpd pickup locker esso woodston service station requested not home sms not home e mail notification sent,,
delivered left at 84 received by janel,,
delivered left at daisy chain received by daisy,,
delivered left at flat 2 received by john,,
delivered left at premier shop received by birkett,,
delivered left at unit11 received by jerry,,
delivered left at 3 received by price,,
delivered left at 38 received by michelle,,
delivered left at d spirit next to sg tanks received by driving spirit,,
delivered left at 5 received by windy,,
delivered left at dulux received by smith,,
delivered left at 140 received by patsy,,
delivered left at 20 received by corb,,
delivered left at 23 received by wood,,
delivered left at 190 received by martina,,
delivered left at 70 lm design received by anna,,
delivered left at unit no5 received by iian,,
delivered left at 78 received by sarah,,
delivered left at 9c sam received by sam,,
delivered left at 25 received by open,,
delivered left at 6 received by street,,
delivered left at 70 received by lawson,,
the parcel was refused at the delivery point,,
delivered left at 6 received by danial,,
delivered left at organic received by jemie,,
delivered left at 1a received by fountain,,
delivered left at nightingale loghd3 received by nightingale lodhe,,
delivered left at raze the roof received by smith,,
delivered left at 9 0pp received by richard,,
delivered left at 11 received by owens,,
your parcel has been been handed to the airline for export from the uk,,
delivered left at 38 received by paul,,
confirmed at dpd pickup locker,,
delivered left at 2 received by mcgowan,,
manually sorted non conveyable traffic,,
delivery to dpd pickup locker bp girdle toll service station requested not home sms notification sent,,
delivery to dpd pickup locker bp milton regis service station requested not home sms notification sent,,
unable to deliver refused by recipient,,
collected parcel from dpd pickup locker,,
delivery refused by driver using saturn,,
delivery to dpd pickup locker bp somerby hill service station requested collect from pickup acknowledgement sms notification sent,,
scan to warehouse,,
delivery runsheet image available,,
delivery to dpd pickup point requested,,
unable to deliver recipient absent by drew,,
unable to deliver refused by recipient by drew,,
unable to deliver refused to sign by drew,,
delivery to dpd pickup locker best one requested collect from pickup consumer acknowledgement sms collect from pickup consumer acknowledgement e mail notification sent,,
reminder email sent successfully,,
redelivery request new address made for wed 10 may 2023 alternative address acknowledgement sms alternative address acknowledgement e mail notification sent,,
receiver refused to pay on delivery,,
held unexpected/uncontrollable event,,
delivered to pickup point sms notification proof of delivery sms notification sent,,
we have attempted to contact the receiver,,
delivery to dpd pickup shop not possible pickup delay sms notification sent,,
we have sent a reminder email,,
delivered with consignee s authority by sandro strasser,,
international held in hub,,
delivery refused as the contact name was not recognised by sam,,
delivery to dpd pickup shop not possible pickup delay sms pickup delay e mail notification sent,,
redelivery request service upgrade made for thu 29 august 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,,
pending information from origin depot,,
duty and tax charges to customs clear the parcel have not been paid,,
customs inspection required,,
delivered with consignee s authority received by justyna weiss,,
delivered with consignee s authority received by esser dr simone,,
delivered with consignee s authority received by wolfgang jern,,
delivered with consignee s authority received by nimatullah azami,,
delivered with consignee s authority received by thomas haderli c/o llan lin,,
delivered with consignee s authority received by windler,,
delivered with consignee s authority received by huber kerstin,,
delivered with consignee s authority received by tatjana lewinski,,
delivered with consignee s authority received by wolthusen janine,,
delivered id checked,,
delivered with consignee s authority received by elbadawi sophie,,
delivered with consignee s authority received by kern wolfgang,,
delivered with consignee s authority received by michael rumpel,,
the parcel has been requested to be returned,,
the parcel will now be delivered to an alternative address as requested,,
unable to deliver refused by recipient by gilles,,
delivered to alternative address by almira batanovic,,
delivered with consignee s authority received by baskakov,,
delivered with consignee s authority received by doris heine,,
redirected to chelmsford depot,,
delivered with consignee s authority received by bernd mutke,,
delivered with consignee s authority received by dr florian stellmacher,,
delivered with consignee s authority received by annika haas,,
delivered with consignee s authority received by den boer markus,,
import charges reminder sent,,
delivered to alternative address,,
delivery to dpd pickup shop budni friedrichshain requested,,
delivery to dpd pickup shop romulco tweewielers requested,,
your redelivery request has been received,,
unable to deliver door access code required,,
delivered with consignee s authority received by gohlke thomas,,
held in trailer from hub trailer 1953,,
delivery to dpd pickup shop nur design requested,,
delivered with consignee s authority by evm 68,,
image requested for carrier request made,,
off loaded,,
delivery refused by jesus using saturn,,
delivery to dpd pickup shop lotto totto kiosk requested,,
unable to deliver damaged,,
redelivery request new address made for mon 26 june 2023 alternative address acknowledgement e mail notification sent,,
import charges paid,,
1 parcels collected on delivery,,
delivered with consignee s authority received by kindermann wolfgang,,
delivered with consignee s authority received by swiss paket,,
delivered with consignee s authority received by sylwia gwardys,,
delivery refused by danthony using saturn,,
delivery to dpd pickup shop awg mode center requested,,
delivery to dpd pickup shop gordijn wereld requested,,
delivery to dpd pickup shop king candy schwerin requested,,
delivery to dpd pickup shop pieterse mode textiel requested,,
delivery to dpd pickup shop sahin sahin gbr requested,,
delivery to dpd pickup shop top1toys drachten requested,,
delivery to dpd pickup shop wow nails nijmegen requested,,
image requested for carrier request received by image system,,
redelivery request service upgrade made for fri 18 october 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,,
unable to deliver recipient absent by mike,,
unable to deliver refused by recipient by elms,,
delivery instructions provided instruction please can you delivery it by 1pm as its needed for a event in the evening and they need to leave by 2pm,,
delivery to dpd pickup point after unsuccessful delivery attempt not home by dawnbreed records jeff,,
delivery to dpd pickup shop optique malesherbes requested,,
delivery to dpd pickup shop primeur saint clement requested,,
delivery to dpd pickup shop super u express requested,,
picked up by consumer by dawnbreed records,,
picked up by consumer by ramio fernandez gonzalez,,
picked up by consumer by rib,,
redirected to depot shipment delayed sms shipment delayed e mail notification sent,,
unable to deliver address query by barry emons,,
delivered with consignee s authority by schmitt,,
delivered with consignee s authority received by argirov gillmeister dimitar mark,,
delivered with consignee s authority received by ḍ rner michael,,
delivered with consignee s authority received by lamm mario,,
delivered with consignee s authority received by seli gmbh a technik,,
delivered with consignee s authority received by soppa bruno,,
delivery to dpd pickup shop carrefour market drive requested,,
delivery to dpd pickup shop franprix requested,,
delivery to dpd pickup shop harry̢ s getṛ nkeecke requested,,
delivery to dpd pickup shop hyper u multimedia billetterie requested,,
delivery to dpd pickup shop l̢ amiral requested,,
delivery to dpd pickup shop la poste carrepro montrouge requested,,
delivery to dpd pickup shop mon animalerie requested,,
delivery to dpd pickup shop not possible pickup delay e mail notification sent,,
delivery to dpd pickup shop premier wharf road requested not home e mail notification sent,,
delivery to dpd pickup shop rapid pare brise monkey requested,,
picked up by consumer by ms sabrina mirza,,
postcode error redirected,,
redelivery request service upgrade made for sat 15 june 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,,
unable to deliver refused by recipient by dpd,,
delivered with consignee s authority received by prebeck kathrin,,
picked up by consumer by i4light,,
redelivery request new address made for mon 30 january 2023 alternative address acknowledgement sms alternative address acknowledgement e mail notification sent,,
redelivery request service upgrade made for fri 23 august 2024 between 07 00 and 22 00 upgrade acknowledgement sms notification sent,,
delivered with consignee s authority received by jacqueline jokic,,
delivered with consignee s authority received by stock sebastian,,
delivery to dpd pickup shop droguerie g dubouloz requested,,
delivery to dpd pickup shop toeter gadgets requested,,
redelivery request leave in safe place made for fri 16 june 2023 safe place acknowledgement sms notification sent,,
redelivery request new address made for fri 26 may 2023,,
delivered with consignee s authority received by evgenia grishina,,
delivery to dpd pickup point after unsuccessful delivery attempt not home by michelle cooper jrkxjx,,
delivery to dpd pickup shop la tabatiere requested,,
delivery to dpd pickup shop max shop almelo requested,,
picked up by consumer by michelle,,
delivery to dpd pickup shop moreton in marsh post office requested not home sms not home e mail notification sent,,
check address,,
delivered collected from depot received by ziffitt id photo id passport,,
delivered with consignee s authority by acklam stuart,,
delivered with consignee s authority by gṛ pke steffen,,
delivered with consignee s authority by mangold florian,,
delivered with consignee s authority by seethaler florian,,
delivered with consignee s authority by strittmatter nicole und oliver,,
delivered with consignee s authority received by adidas ag hzo brenes yolanda gome,,
delivered with consignee s authority received by aichholz marc,,
delivered with consignee s authority received by bṛ ning sarah,,
delivered with consignee s authority received by deser,,
delivered with consignee s authority received by easypaketshop,,
delivered with consignee s authority received by faiza umatul,,
delivered with consignee s authority received by goebber,,
delivered with consignee s authority received by hạ elmann,,
delivered with consignee s authority received by hagedorn benjamin,,
delivered with consignee s authority received by hagen,,
delivered with consignee s authority received by haller,,
delivered with consignee s authority received by jungermann dominik,,
delivered with consignee s authority received by kinga pinterova,,
delivered with consignee s authority received by kraus,,
delivered with consignee s authority received by lerch sarah und philipp,,
delivered with consignee s authority received by mail sam,,
delivered with consignee s authority received by maraun /17732 thorsten,,
delivered with consignee s authority received by oder rainer,,
delivered with consignee s authority received by ortmeier,,
delivered with consignee s authority received by petterson ronald,,
delivered with consignee s authority received by rugins de montoya susan,,
delivered with consignee s authority received by saager norman und sabine,,
delivered with consignee s authority received by seitz christopher,,
delivered with consignee s authority received by stephan tobias,,
delivered with consignee s authority received by stojanocic,,
delivered with consignee s authority received by technische universitaet,,
delivered with consignee s authority received by vogt angelina,,
delivered with consignee s authority received by zaylia israel,,
delivery note / order reference required by brachmann,,
delivery to dpd pickup shop alimentation grand palais requested,,
delivery to dpd pickup shop billa filiale 8158 requested,,
delivery to dpd pickup shop cordonnerie serrurerie patricio requested,,
delivery to dpd pickup shop e leclerc bricolage requested,,
delivery to dpd pickup shop hyper u requested,,
delivery to dpd pickup shop la poste ppdc narbonne requested,,
delivery to dpd pickup shop le relais des mousquetaires requested,,
delivery to dpd pickup shop leyton post office requested not home e mail notification sent,,
delivery to dpd pickup shop marche aux affaires requested,,
delivery to dpd pickup shop profi line gotha requested,,
delivery to dpd pickup shop save requested,,
forwarded to mps pre paid roissy fr,,
picked up by consumer by andrew goudie,,
picked up by consumer by daniel mulder,,
picked up by consumer by danny,,
picked up by consumer by duco,,
picked up by consumer by frank k,,
picked up by consumer by frans van heel,,
picked up by consumer by ivan varela domarco,,
picked up by consumer by mathew cooper,,
picked up by consumer by pip menzel,,
picked up by consumer by pricilja veenkamp,,
received at pickup by andrew goudie,,
unable to deliver delivery date rescheduled by alide he,,
unable to deliver delivery date rescheduled by linde reus,,
unable to deliver reason unknown by alide he,,
unable to deliver recipient absent by cox,,
unable to deliver recipient absent by dernadett,,
unable to deliver recipient absent by estes,,
unable to deliver recipient absent by grosch,,
unable to deliver recipient absent by kevin geweyer,,
unable to deliver recipient absent by linde reus,,
unable to deliver recipient on holiday by linde reus,,
unable to deliver refused by recipient by tamara kvit,,
unable to deliver refused to sign by brachmann,,
delivered with consignee s authority by bogdahn holger,,
delivered with consignee s authority received by holeschek western style shopping,,
delivered with consignee s authority received by schule birklehof e v,,
parcel retrieved from dpd pickup locker,,
picked up by consumer by van vegchel,,
delivered to alternative address received by goedt m,,
picked up by consumer by drewes tebbes,,
picked up by consumer by kerli puvi,,
picked up by consumer by trix schmal,,
delivery to dpd pickup shop premier west road convenience store requested collect from pickup acknowledgement e mail notification sent,,
export paperwork/invoices missing,,
ofd email and sms notification between 11 30 12 30,,
ofd email notification between 16 34 17 34,,
ofd sms notification between 13 25 14 25,,
picked up by consumer by egorov arseny romanovich,,
picked up by consumer by marcel antheunisse,,
the receiver has been advised of when their delivery will take place between 15 06 16 06,,
image requested for carrier image queued for export,,
ofd email notification between 11 21 12 21,,
ofd email notification between 12 20 13 20,,
ofd email notification between 13 06 14 06,,
ofd email notification between 13 26 14 26,,
ofd sms notification between 13 00 14 00,,
redelivery request service upgrade made for tue 17 october 2023 between 08 00 and 12 00 upgrade acknowledgement e mail notification sent,,
return to consignor requested,,
the parcel has been collected by loura,,
the receiver has been advised of when their delivery will take place between 13 01 14 01,,
ofd email and sms notification between 12 31 13 31,,
ofd email notification between 09 00 13 00,,
ofd email notification between 09 11 10 11,,
ofd email notification between 09 23 10 23,,
ofd email notification between 09 25 11 25,,
ofd email notification between 09 55 10 55,,
ofd email notification between 13 00 15 00,,
ofd email notification between 13 04 14 04,,
ofd email notification between 13 54 14 54,,
ofd sms notification between 08 40 09 40,,
ofd sms notification between 13 00 15 00,,
picked up by consumer by kruisland,,
the receiver has been advised of when their delivery will take place between 09 31 10 31,,
the receiver has been advised of when their delivery will take place between 09 36 10 36,,
the receiver has been advised of when their delivery will take place between 10 02 11 02,,
the receiver has been advised of when their delivery will take place between 10 20 11 20,,
the receiver has been advised of when their delivery will take place between 10 21 11 21,,
the receiver has been advised of when their delivery will take place between 11 51 12 51,,
the receiver has been advised of when their delivery will take place between 12 02 13 02,,
the receiver has been advised of when their delivery will take place between 12 38 13 38,,
the receiver has been advised of when their delivery will take place between 13 28 14 28,,
the receiver has been advised of when their delivery will take place between 15 49 16 49,,
shipment unvoided,,
delivery note printed,,
offshore downgrade due to operational reasons consignment is now on a 2 day service,,
delivery to neighbour has been requested if recipient is not in to receive the item,,
delivered left at 12 received by edwards,,
the parcel was refused at the pickup point by the receiver,,
delivered to post office/collection point,,
delivered left at rafs received by raf,,
delivered left at v8 repair received by martin,,
deliver to alternative address requested,,
delivered left at 49 received by lisa,,
delivered left at 67 surbiton road londis shop received by patel,,
delivered left at 53 received by lowing,,
delivered left at porter received by angela,,
delivered left at number 12 received by douglas,,
delivered left at number 35 received by beveridge,,
delivered left at flat 1 received by dan,,
delivery to dpd pickup locker homebase requested collect from pickup acknowledgement sms collect from pickup acknowledgement e mail notification sent,,
prohibited goods,,
held in depot contents checked,,
redelivery request service upgrade made for sat 31 august 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,,
delivered left at number 21 received by summer,,
ready for collection sms confirmed as received,,
delivered left at 3a moorland road received by matthew,,
delivered to alternative address received by silke hoenselaar,,
1 parcels delivered on collection,,
delivery to dpd pickup shop viatim nederland b v hoofdaccoun requested,,
contents checked during hub sort,,
delivery to dpd pickup shop viatim a b requested,,
delivery to dpd pickup shop diska oschatz requested,,
delivery to dpd pickup shop vatantel requested,,
delivery to dpd pickup shop b k food wine requested not home sms not home e mail notification sent,,
imported by international gateway from dpd group import arrived sms notification sent,,
delivered to alternative address received by handyhaus,,
unable to deliver recipient on holiday,,
delivered to alternative address received by stummer,,
missing or incorrect delivery data,,
redelivery request leave in safe place made for thu 09 march 2023 safe place acknowledgement sms safe place acknowledgement e mail notification sent,,
redelivery request leave in safe place made for tue 28 march 2023 safe place acknowledgement sms safe place acknowledgement e mail notification sent,,
redelivery request new address made for fri 10 march 2023 alternative address acknowledgement e mail notification sent,,
redelivery request new address made for fri 31 march 2023 alternative address acknowledgement sms alternative address acknowledgement e mail notification sent,,
reminder sms confirmed as received,,
delivered to alternative address received by burn,,
delivered to alternative address received by buur v,,
delivered to alternative address received by milop,,
delivered to alternative address received by tol f,,
