scan_id,pattern,type,current_scanGroupId,carrier,carrierId,current_scan_group,proposed_scan_group,scanGroupId
shipment may contain personal effects therefore specific customs processing may be required-DHL UK-Additional information required for customs clearance,shipment may contain personal effects therefore specific customs processing may be required,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Additional information required for customs clearance,Personal affects form required for customs clearance,20c828db-d27a-42a9-8c50-8ee2c1d7a7ba
"shipment is held pending clarification of goods valuation-DHL UK-Due to commodity or weight, your package is being held to verify value.",shipment is held pending clarification of goods valuation,RegEx,e4f3df0c-b4df-45c8-b441-b3d1c235d7d1,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,"Due to commodity or weight, your package is being held to verify value.",Shipment is held to verify commodity description for correct classification,756b914a-2d36-4de9-87b2-588443c88916
shipment arrived at wrong facility sent to correct destination-DHL UK-Carrier error delayed delivery,shipment arrived at wrong facility sent to correct destination,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Carrier misrouted the shipment - Corrective action underway,063db3fe-b8dc-4500-a63e-96a2441b08f3
shipment arrived at incorrect facility sent to correct destination-DHL UK-Carrier error delayed delivery,shipment arrived at incorrect facility sent to correct destination,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Carrier misrouted the shipment - Corrective action underway,063db3fe-b8dc-4500-a63e-96a2441b08f3
paperwork is required from the importer to continue with the clearance processing-DHL UK-Additional information required for customs clearance,paperwork is required from the importer to continue with the clearance processing,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Additional information required for customs clearance,Additional information or paperwork required for customs clearance,41d9399a-3514-420d-a36b-53c539b89423
missorted to an incorrect location-DHL UK-Carrier error delayed delivery,missorted to an incorrect location,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Carrier misrouted the shipment - Corrective action underway,063db3fe-b8dc-4500-a63e-96a2441b08f3
further clearance processing is required-DHL UK-Customs clearance delay,further clearance processing is required,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance delay,Customs clearance in progress,4796f4a2-c081-41d0-82fe-d8a982078677
disruption in network tractor trailer-DHL UK-Carrier error delayed delivery,disruption in network tractor trailer,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Delay due to mechanical failure,3a2455f1-6023-4aa8-a476-4277771824fa
delivery arranged no details expected-DHL UK-Package on hold for delivery,delivery arranged no details expected,RegEx,667c9f0c-4671-4af0-a788-c264b8553dac,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Package on hold for delivery,Delivery scheduled for a future date,e5820d09-3fcd-4b89-9dfe-0a32f7672ffe
declared as repair and return which requires specific customs processing including serial numbers and other proof of status-DHL UK-The returned package requires an export invoice for duty relief,declared as repair and return which requires specific customs processing including serial numbers and other proof of status,RegEx,3d3bb87b-f197-407b-b7cc-cd33835f135d,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,The returned package requires an export invoice for duty relief,Shipment is held to verify commodity description for correct classification,756b914a-2d36-4de9-87b2-588443c88916
customs status updated-DHL UK-Customs clearance in progress,customs status updated,RegEx,4796f4a2-c081-41d0-82fe-d8a982078677,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance in progress,Processed for clearance,683e4758-4d70-4c2e-98a3-43fa1e270a93
departed facility-DHL UK-In Transit,departed facility,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,Departure Scan,ddb74326-d54d-4dfe-9624-abdb3d6cc0c5
clearance is pending while waiting for the arrival of all piece s of a multi piece shipment-DHL UK-Customs clearance delay,clearance is pending while waiting for the arrival of all piece s of a multi piece shipment,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance delay,Shipment on hold - awaiting rest of shipment,6b480b62-61fd-4146-8e0e-8fd0a4e4e2d2
clearance event-DHL UK-Customs clearance in progress,clearance event,RegEx,4796f4a2-c081-41d0-82fe-d8a982078677,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance in progress,Processed for clearance,683e4758-4d70-4c2e-98a3-43fa1e270a93
based on a customer request delivery will not be attempted as planned-DHL UK-Shipment on hold,based on a customer request delivery will not be attempted as planned,RegEx,1bd2ae08-39db-4489-a573-5ba5281922a6,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Shipment on hold,Shipment on hold after request,72dba80e-ccf9-4e7e-967b-b04b9ede4ee1
awaiting pickup by recipient as requested-DHL UK-Receiver to pick up shipment,awaiting pickup by recipient as requested,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Receiver to pick up shipment,Shipment ready for collection from pick-up point,4f4bd244-5ace-4477-9179-34fd9e5b9023
awaiting collection by recipient as requested-DHL UK-Receiver to pick up shipment,awaiting collection by recipient as requested,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Receiver to pick up shipment,Shipment ready for collection from pick-up point,4f4bd244-5ace-4477-9179-34fd9e5b9023
arrived at dhl facility-DHL UK-Warehouse Scan,arrived at dhl facility,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Warehouse Scan,In Transit,b3c222da-581b-4b4d-ad4f-8b08d0a997a2
an exception in the sorting process has occurred ups has taken corrective action-DHL UK-Carrier error delayed delivery,an exception in the sorting process has occurred ups has taken corrective action,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Shipment exception - Corrective action underway,503ccd73-5556-48d9-a8fa-1c7dce74b2d6
a specific certificate from the shipper or importer is required to validate the duty / tax free status of a shipment-DHL UK-Additional information required for customs clearance,a specific certificate from the shipper or importer is required to validate the duty / tax free status of a shipment,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Additional information required for customs clearance,Additional information or paperwork required for customs clearance,41d9399a-3514-420d-a36b-53c539b89423
a dhl representative will contact importer prior to clearance processing-DHL UK-Shipment to be held and receiver to be contacted for clearance instructions,a dhl representative will contact importer prior to clearance processing,RegEx,1341cfa6-cc11-4e8f-9bcb-5e5c26663268,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Shipment to be held and receiver to be contacted for clearance instructions,Receiver contacted for clearance instructions,f8beec24-b0b5-464a-8f3c-3d63230bab17
shipment accepted-DHL UK-Shipment manifested,shipment accepted,RegEx,fab7a1ed-c7e2-42bf-852b-0c7f3d2038b3,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Shipment manifested,Shipment collected,7e750f7e-2154-4c2f-836e-007e7786480c
departed from dhl facility-DHL UK-In Transit,departed from dhl facility,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,Departure Scan,ddb74326-d54d-4dfe-9624-abdb3d6cc0c5
delivery attempted-DHL UK-Delivery attempted. Receiver not available for delivery,delivery attempted,RegEx,1c7ea3b8-dbe6-49d6-98e1-7b80b227e269,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery attempted. Receiver not available for delivery,Delivery attempted,b9c04e40-5251-47e9-8a3a-baeb9c05d5b8
at destination sort facility-DHL UK-Warehouse Scan,at destination sort facility,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Warehouse Scan,In Transit,b3c222da-581b-4b4d-ad4f-8b08d0a997a2
shipment has departed from a dhl facility.*-DHL UK-In Transit,shipment has departed from a dhl facility.*,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,Departure Scan,ddb74326-d54d-4dfe-9624-abdb3d6cc0c5
arrived at dhl delivery facility.*-DHL UK-In Transit,arrived at dhl delivery facility.*,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,Arrival at delivery depot,778872ee-9dcf-4522-9998-26e6e06d38ff
delivery attempt could not be completed-DHL UK-Delivery failed,delivery attempt could not be completed,RegEx,f743d215-d4e9-4bbf-ba3f-b3a8dbe0018c,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery failed,Delivery attempted,b9c04e40-5251-47e9-8a3a-baeb9c05d5b8
shipment arrived at incorrect facility it will be sent to the correct destination for delivery-DHL UK-Carrier error delayed delivery,shipment arrived at incorrect facility it will be sent to the correct destination for delivery,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Carrier misrouted the shipment - Corrective action underway,063db3fe-b8dc-4500-a63e-96a2441b08f3
shipment has departed from a dhl facility-DHL UK-In Transit,shipment has departed from a dhl facility,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,Departure Scan,ddb74326-d54d-4dfe-9624-abdb3d6cc0c5
arrived facility-DHL UK-Arrival at delivery depot,arrived facility,RegEx,778872ee-9dcf-4522-9998-26e6e06d38ff,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Arrival at delivery depot,Arrival scan,8dcc418e-4470-47b2-a439-6e2c517a7546
agreed delivery-DHL UK-Delivery scheduled for a future date,agreed delivery,RegEx,e5820d09-3fcd-4b89-9dfe-0a32f7672ffe,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery scheduled for a future date,Scheduled for delivery,df0f8dc8-63fb-4893-90d6-a1ad1daa7ac5
not home-DHL UK-1st of 3 Delivery attempts. Receiver not available,not home,RegEx,4d0470ee-32d3-463d-8eb7-f187eb016ce1,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,1st of 3 Delivery attempts. Receiver not available,Delivery attempted. Receiver not available for delivery,1c7ea3b8-dbe6-49d6-98e1-7b80b227e269
missed delivery cycle-DHL UK-Delivery rescheduled,missed delivery cycle,RegEx,4baae71a-4579-4fed-860a-05da3b13ddc9,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery rescheduled,Delivery failed,f743d215-d4e9-4bbf-ba3f-b3a8dbe0018c
shipment has departed from a dhl facility vitoria bra-DHL UK-In Transit,shipment has departed from a dhl facility vitoria bra,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,Departure Scan,ddb74326-d54d-4dfe-9624-abdb3d6cc0c5
your parcel has left the united kingdom and is on its way to-DPD UK-In Transit,your parcel has left the united kingdom and is on its way to,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,In Transit,Export Scan,3d583349-098f-487d-a75c-71dea69b81f3
returned to depot-DPD UK-In Transit,returned to depot,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,In Transit,Arrival at delivery depot,778872ee-9dcf-4522-9998-26e6e06d38ff
confirmed at hub-DPD UK-Warehouse Scan,confirmed at hub,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Warehouse Scan,Hub scan,014385bb-d863-489b-8f36-f266909a3b98
return to depot-DPD UK-In Transit,return to depot,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,In Transit,Arrival at delivery depot,778872ee-9dcf-4522-9998-26e6e06d38ff
parcel left depot-DPD UK-In Transit,parcel left depot,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,In Transit,Departure Scan,ddb74326-d54d-4dfe-9624-abdb3d6cc0c5
exported by international gateway to dpd group-DPD UK-In Transit,exported by international gateway to dpd group,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,In Transit,Export Scan,3d583349-098f-487d-a75c-71dea69b81f3
confirmed at gateway-DPD UK-In Transit,confirmed at gateway,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,In Transit,Hub scan,014385bb-d863-489b-8f36-f266909a3b98
confirmed at depot-DPD UK-In Transit,confirmed at depot,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,In Transit,Hub scan,014385bb-d863-489b-8f36-f266909a3b98
collected parcel from dpd pickup shop-DPD UK-Shipment collected,collected parcel from dpd pickup shop,RegEx,7e750f7e-2154-4c2f-836e-007e7786480c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment collected,Shipment collected from pick-up location,a80c5c73-993a-4579-b0ba-cf9b3fd37287
leave in a safe place requested-DPD UK-Request to reschedule delivery,leave in a safe place requested,RegEx,399c081b-ae68-4372-9034-172fcc2619f3,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Request to reschedule delivery,New instructions received - We updated the delivery information for your package,0b6f2e65-c1a7-4b3d-90da-de65f31b6160
held by depot delivery premises closed-DPD UK-Delivery attempted. Receiver not available for delivery,held by depot delivery premises closed,RegEx,1c7ea3b8-dbe6-49d6-98e1-7b80b227e269,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery attempted. Receiver not available for delivery,Shipment on hold,1bd2ae08-39db-4489-a573-5ba5281922a6
pending consignee information or duty payment-DPD UK-Held awaiting tax payment by the receiver,pending consignee information or duty payment,RegEx,b57205dc-a8ba-4dfe-b958-85b18d25e4bd,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Held awaiting tax payment by the receiver,Information needed from the receiver,2f774d6e-b42b-425d-9d7d-e260e978de9e
confirmed at.*pickup point-DPD UK-Shipment dropped off awaiting carrier collection,confirmed at.*pickup point,RegEx,bfea056c-8daf-4846-894b-f0e79240cf9e,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment dropped off awaiting carrier collection,Shipment ready for collection from pick-up point,4f4bd244-5ace-4477-9179-34fd9e5b9023
collected parcel from.*pickup point-DPD UK-Shipment collected,collected parcel from.*pickup point,RegEx,7e750f7e-2154-4c2f-836e-007e7786480c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment collected,Shipment collected from pick-up location,a80c5c73-993a-4579-b0ba-cf9b3fd37287
unable to deliver notification received-DPD UK-Delivery failed,unable to deliver notification received,RegEx,f743d215-d4e9-4bbf-ba3f-b3a8dbe0018c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery failed,Unable to deliver,67224b76-1437-4890-877c-d375005362a8
unable to deliver calling card left-DPD UK-Delivery failed,unable to deliver calling card left,RegEx,f743d215-d4e9-4bbf-ba3f-b3a8dbe0018c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery failed,Delivery attempted,b9c04e40-5251-47e9-8a3a-baeb9c05d5b8
leave in safe place has been requested-DPD UK-Delivery to alternative address requested,leave in safe place has been requested,RegEx,cae871bc-b874-4a61-9b2a-d980d6afcb21,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to alternative address requested,New instructions received - We updated the delivery information for your package,0b6f2e65-c1a7-4b3d-90da-de65f31b6160
customs examination-DPD UK-Customs clearance in progress,customs examination,RegEx,4796f4a2-c081-41d0-82fe-d8a982078677,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Customs clearance in progress,Held for inspection by government agency,e197487d-bc6b-48e8-a617-3b80bfc78144
parcel seen at depot-DPD UK-Warehouse Scan,parcel seen at depot,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Warehouse Scan,In Transit,b3c222da-581b-4b4d-ad4f-8b08d0a997a2
held in customs other reasons-DPD UK-Held for inspection by government agency,held in customs other reasons,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Held for inspection by government agency,Clearance has been delayed by customs or other government agency,e88ff616-6014-4117-9c92-de79a974709f
unable to deliver reason unknown-DPD UK-Delivery failed,unable to deliver reason unknown,RegEx,f743d215-d4e9-4bbf-ba3f-b3a8dbe0018c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery failed,Unable to deliver,67224b76-1437-4890-877c-d375005362a8
unable to deliver insufficient time-DPD UK-Carrier error delayed delivery,unable to deliver insufficient time,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Carrier error delayed delivery,Unable to deliver,67224b76-1437-4890-877c-d375005362a8
retrieved from pickup-DPD UK-Shipment collected from pick-up location,retrieved from pickup,RegEx,a80c5c73-993a-4579-b0ba-cf9b3fd37287,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment collected from pick-up location,Shipment collected,7e750f7e-2154-4c2f-836e-007e7786480c
reconsign data received-DPD UK-Return of the package requested,reconsign data received,RegEx,e2dfa742-6a87-4e30-97a6-eafec17c2edf,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Return of the package requested,New instructions received - We updated the delivery information for your package,0b6f2e65-c1a7-4b3d-90da-de65f31b6160
parcel reconsigned for onward journey-DPD UK-Shipment returned or being returned to sender,parcel reconsigned for onward journey,RegEx,a319d767-1440-4bae-8fc9-3560e4c50a9b,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment returned or being returned to sender,In Transit,b3c222da-581b-4b4d-ad4f-8b08d0a997a2
return holding / storage limit expired-DPD UK-Shipment to be returned,return holding / storage limit expired,RegEx,5ea46330-cc6d-4f62-b891-7e347342f3dd,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment to be returned,Shipment cannot be held any longer,c43e8de0-d0c7-41cb-b749-0658e647aa8a
the parcel is being returned due to a query with the address-DPD UK-Shipment returned or being returned to sender,the parcel is being returned due to a query with the address,RegEx,a319d767-1440-4bae-8fc9-3560e4c50a9b,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment returned or being returned to sender,Package returned to sender due to incomplete address,02ab7ae4-cd67-4792-bdc2-379c0123fe70
delivery to neighbour has been requested if recipient is not in to receive the item delivery to neighbour-DPD UK-Delivery to alternative address requested,delivery to neighbour has been requested if recipient is not in to receive the item delivery to neighbour,RegEx,cae871bc-b874-4a61-9b2a-d980d6afcb21,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to alternative address requested,New instructions received - We updated the delivery information for your package,0b6f2e65-c1a7-4b3d-90da-de65f31b6160
the parcel is being returned-DPD UK-Shipment returned or being returned to sender,the parcel is being returned,RegEx,a319d767-1440-4bae-8fc9-3560e4c50a9b,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment returned or being returned to sender,Shipment to be returned,5ea46330-cc6d-4f62-b891-7e347342f3dd
the receiver has been advised of when their delivery will take place between.*-DPD UK-Out for delivery,the receiver has been advised of when their delivery will take place between.*,RegEx,475f6865-4882-4523-8795-9a0d4f8e1d6e,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Out for delivery,Internal activity scan,91349ad2-8859-4778-a6a2-a280b3e2a2e8
unable to deliver-DPD UK-Delivery attempted,unable to deliver,RegEx,b9c04e40-5251-47e9-8a3a-baeb9c05d5b8,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery attempted,Unable to deliver,67224b76-1437-4890-877c-d375005362a8
the receiver has been advised of when their delivery will take place-DPD UK-Scheduled for delivery,the receiver has been advised of when their delivery will take place,RegEx,df0f8dc8-63fb-4893-90d6-a1ad1daa7ac5,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Scheduled for delivery,Internal activity scan,91349ad2-8859-4778-a6a2-a280b3e2a2e8
the parcel is currently being held in customs awaiting.*from the receiver-DPD UK-Additional information required for customs clearance,the parcel is currently being held in customs awaiting.*from the receiver,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Additional information required for customs clearance,Awaiting release from customs,242a0d42-f28c-41ca-8c57-c3bf000812a8
there has been a delay with the delivery-DPD UK-Delayed due to circumstances beyond our control - Corrective action underway,there has been a delay with the delivery,RegEx,da51b056-3d09-4978-ab8e-695c2852f981,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delayed due to circumstances beyond our control - Corrective action underway,Transit delay,a3f98c55-2fca-4189-a026-517ab25ca1f3
the parcel is being held in customs as it requires an eori to be provided-DPD UK-Additional information required for customs clearance,the parcel is being held in customs as it requires an eori to be provided,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Additional information required for customs clearance,Unique customs identification number missing required for clearance,2758d92f-0621-488b-81ad-550937b4066a
the receiver has been advised of when their delivery will take place between -DPD UK-Out for delivery,the receiver has been advised of when their delivery will take place between ,RegEx,475f6865-4882-4523-8795-9a0d4f8e1d6e,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Out for delivery,Internal activity scan,91349ad2-8859-4778-a6a2-a280b3e2a2e8
the parcel is held awaiting authorisation from the importer for customs clearance-DPD UK-Additional information required for customs clearance,the parcel is held awaiting authorisation from the importer for customs clearance,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Additional information required for customs clearance,Awaiting further instructions from receiver,60520f50-14d1-4f2e-bee1-ada8d4fa525a
there s a delay with your parcel at our collection depot-DPD UK-Transit delay,there s a delay with your parcel at our collection depot,RegEx,a3f98c55-2fca-4189-a026-517ab25ca1f3,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Transit delay,Collection failed,8a60fe2c-105e-41aa-be6f-97e116a411e6
unable to deliver uncontrollable event-DPD UK-Delayed due to circumstances beyond our control - Corrective action underway,unable to deliver uncontrollable event,RegEx,da51b056-3d09-4978-ab8e-695c2852f981,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delayed due to circumstances beyond our control - Corrective action underway,Delivery failed due to circumstances outside the carrier's control - Delivery will be rescheduled,729f8768-d03c-4710-ab3f-5153b4d1759d
the parcel is currently being held in customs awaiting further information-DPD UK-Additional information required for customs clearance,the parcel is currently being held in customs awaiting further information,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Additional information required for customs clearance,Awaiting further instructions,c5112a6b-1b24-44e2-a931-2e91c0650601
