carrierId,carrier,pattern,proposed_scan_group,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,merchandise missing balance being returned ups will notify the sender with details of the damage,new_Some merchandise missing. Balance being returned to sender,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,ups has received the information needed to submit your package for clearance,Customs clearance in progress,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,van held locker technical issue,Delay due to mechanical failure,this scan can happen ,a) at a parcel shop ,b) at a hub or depot ,techincally this is transit delay or delayed due to mechanical failure right 
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,unable to deliver delivery date rescheduled,New_Unable to deliver. Delivery rescheduled,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,the parcel is at the local depot awaiting a suitable time to deliver,Arrival at delivery depot,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,recovered by net buster,not_clear,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,safe place building foyer/entrance request,Driver release - Delivered to a safe place,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,the parcel has now been collected from the local pickup point,Delivered,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,returned by customer,not_clear,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,damaged merchandise returned remaining content will be delivered ups will notify the sender with details of the damage,new_Some merchandise damaged and returned. Remaining contents will be delivered,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,damaged after hub despatch,Package damaged in transit,,,,
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,delay package delayed,Transit delay,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,ups initiated contact with the sender to obtain clearance information once received ups will submit for clearance,Contact with sender made,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,delivery sorted at depot,In Transit,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 11 received by pharmacy,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivery to neighbour has been requested if recipient is not in to receive the item,New instructions received – We updated the delivery information for your package,Possible new scan group,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,collected from depot received by james,Delivered,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at brynawelon received by evans,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,held in depot,Shipment on hold,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 40 received by aaron,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 25 received by garry,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 30 rose received by rose,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at a1 received by adam,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivery to dpd pickup locker esso woodston service station requested not home sms not home e mail notification sent,Delivery to pick-up point requested,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 84 received by janel,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at daisy chain received by daisy,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at flat 2 received by john,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at premier shop received by birkett,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at unit11 received by jerry,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 38 received by michelle,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 3 received by price,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at d spirit next to sg tanks received by driving spirit,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivery to dpd pickup locker bp girdle toll service station requested not home sms notification sent,Delivery to pick-up point requested,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 5 received by windy,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at dulux received by smith,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 140 received by patsy,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 20 received by corb,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 23 received by wood,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 2 received by mcgowan,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 190 received by martina,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 70 lm design received by anna,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at unit no5 received by iian,Delivered to neighbour,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1622,not_clear,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 78 received by sarah,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 9c sam received by sam,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 25 received by open,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 6 received by street,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 70 received by lawson,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 12 received by edwards,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at by the way received by finch,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,the parcel was refused at the delivery point,Delivery refused,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 6 received by danial,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at organic received by jemie,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 1a received by fountain,Delivered to neighbour,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,711,not_clear,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at nightingale loghd3 received by nightingale lodhe,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at raze the roof received by smith,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 9 0pp received by richard,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at coral received by a adam,Delivered to neighbour,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1585,new_Unidentifiable substance,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,damage investigation currently in progress,new_Damage investigation in progress.,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 11 received by owens,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivery to dpd pickup locker bp milton regis service station requested not home sms notification sent,Delivery to pick-up point requested,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,locker access problem,new_delay due to PUDO locker issue,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,idd,Package damaged in transit,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i166,Package not collected - Damaged,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,the customer has requested that this parcel be diverted to their porch,New instructions received – We updated the delivery information for your package,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,drop off,Shipment dropped off awaiting carrier collection,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,your package is currently at the ups access point and is scheduled to be tendered to ups,Shipment dropped off awaiting carrier collection,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,we missed you we are taking your package to a local ups access point next business day for customer pickup,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i137,Out for delivery,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,return has been processed at the evri hub and will be with the retailer shortly,In Transit,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 38 received by paul,Delivered to neighbour,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,return to shipper required for compliance reasons,Shipment to be returned,,,,
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,delay adult recipient unavailable age and required identification vary by country,new_Delivery delayed due to missing adult signature,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,delivery instruction amended by client,New instructions received - We updated the delivery information for your package,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,manually sorted non conveyable traffic,In Transit,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the damage inspection request has been reissued,new__Damage inspection request reissued,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i112,Parcel cannot be located,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,return has been processed at the evri hub and will be with the retailer shortly,In Transit,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,redelivery request service upgrade made for sat 01 march 2025 between 08 00 and 12 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at loyal auto received by loyal,Delivered to neighbour,,,,
a1630cac-f11e-45eb-ba58-de00a0c48748,DHL UK,record of transit,not_clear,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,customer has picked up package at ups access point,Delivered,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,673,A late trailer arrival has delayed delivery - Delivery may be delayed by 24 hours,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,ups initiated contact with receiver or importer for clearance information once received ups will submit for clearance,Receiver contacted for clearance instructions,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the receiver has moved we re returning the package to the sender,Returned to sender,new: Returned to sender – Receiver moved,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1417,new__Denied Party Screening,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,deferred p c scan,not_clear,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i238,not_clear,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1055,Package damaged in transit,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1466,Shipment on hold due to restricted items,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,we ll contact the sender or receiver about this delivery,Carrier to contact sender or receiver,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,stop and return acknowledged,new_stop and return acknowledged,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the receiver has moved we will deliver the package to the receiver s new address,new_Receiver moved – Address correction in progress,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,765,Unable to deliver to PO box,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the package is being processed for clearance,Customs clearance in progress,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,we re returning this package to the sender as requested by the receiver,Returned to sender,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,the address provided isn t correct so please send a replacement with the correct address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,damaged after pshop customer drop off,Package damaged in transit,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,misloaded and redirected,Carrier misrouted the shipment - Corrective action underway,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,the parcel was refused at the pickup point by the receiver,NEW: Refused at collection point,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,import c o d icod charges have been paid or billed,Import charges are due,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,this package was not picked up from the requested ups facility and will be returned to the sender,Shipment not collected by receiver from pick-up point and will be returned to sender,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,the receiving business was closed at the time of the final delivery attempt,Delivery attempted. Receiver not available for delivery,"NEW: Final delivery attempted, business closed",,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,788,not_clear,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,voided information received,not_clear,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,unable to deliver refused by recipient,Delivery refused,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,click on get updates to receive email updates on your shipment s progress,not_clear,,,,
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,dropped off at fedex authorized shipcenter staples package received after final location pickup has occurred scheduled for pickup next business day,Sender tendered the shipment to Carrier after the latest pick-up time for the requested service. A one day delay is likely,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,damaged after depot return despatch,Package damaged in transit,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered to post office/collection point,Delivered to collection point or pick-up location,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the floor number is either missing or incorrect this may delay delivery we re attempting to update the address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,we tried to deliver the package but were unable to receive payment a second attempt will be made the next business day,1st delivery attempt. Unable to collect tax payment.,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,we re unable to deliver this parcel as it has been damaged please send a replacement parcel,Package damaged in transit,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1487,Hs code required,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the package has been sent to ups lost and found,Package sent to lost and found,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at rafs received by raf,Delivered to neighbour,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the driver was not able to receive payment a final attempt will be made the next business day,Delivery attempted. Unable to collect tax payment.,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,change of delivery method alert pshop,New instructions received - We updated the delivery information for your package,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,customer has picked up package at ups access point,Delivered,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at dml received by matt,Delivered to neighbour,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i532,Delivery refused,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,awaiting hub return despatch,In Transit,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,stop and return customer dispute,not_clear,,,,
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,dropped off at fedex authorized shipcenter,Shipment dropped off awaiting carrier collection,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the damaged merchandise is being held at an agent s location ups will notify the sender with details of the damage,Package damaged - On hold,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,644,not_clear,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,stop and return parcel out of sla,not_clear,,,,
a1630cac-f11e-45eb-ba58-de00a0c48748,DHL UK,returned to consignor,Returned to sender,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,we are returning the package to the sender as the receiver requested,Returned to sender,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,return to depot no preadvce,not_clear,,,,
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,delay fedex holding package,Shipment on hold,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,this parcel is too large for our network so will be disposed of please send a replacement parcel,New_this parcel is too large for our network so will be disposed of please send a replacement parcel,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1587,not_clear,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,safe place residential concierge request,Driver release - Delivered to a safe place,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1460,Driver release - Delivered to a safe place,,,,
