carrierId,carrierName,fromDate,toDate,scanDescription,normalizedScan,frequency,status,normalizedScan_decoded,proposed_sg_gpt_gpt-4o-mini_10,proposed_sg_gpt_gpt-4o-mini
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019636+00:00,1487,1487,359,Not Matched,1487 HS Code Required,Hs code required,Hs code required
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019637+00:00,1488,1488,51,Not Matched,1488 Import License Required,Missing import license required for clearance,Missing import license required for clearance
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019638+00:00,1497,1497,1,Not Matched,1497 Delivered to postal agent,new__Delivered to collection point or pick-up location,new__Delivered to collection point or pick-up location
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019639+00:00,1502,1502,1876,Not Matched,1502 USPS in possesion of the item,In Transit,In Transit
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019639+00:00,1505,1505,1640,Not Matched,1505 Accepted at USPS origin facility,Shipment collected,Shipment collected
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101964+00:00,1510,1510,45,Not Matched,1510 Partial scanned in RETURNS container,In Transit,In Transit
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019641+00:00,1514,1514,9,Not Matched,1514 RETURN REQUESTED BY CUSTOMER,Return of the package requested,Return of the package requested
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019642+00:00,1526,1526,95,Not Matched,1526 Data Exception resolved  Send Next Rotation,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019645+00:00,1543,1543,1487,Not Matched,1543 Clearance Payment not made by Receiver,Awaiting further instructions from receiver,Awaiting further instructions from receiver
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019646+00:00,1545,1545,96,Not Matched,1545 Customs charges paid by Receiver,Released by customs. Clearance complete.,Tax payment received
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019647+00:00,1550,1550,136,Not Matched,1550 On hold - see Portal notes,Shipment on hold,Shipment on hold
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019648+00:00,1585,1585,693,Not Matched,1585 Unidentifiable substance/not packed by manufacturer,new__new__Unidentifiable substance,new__new__Unidentifiable substance
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019649+00:00,1587,1587,315,Not Matched,1587 Incorrect Description,new__new__Incorrect Description,new__new__Incorrect Description
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101965+00:00,1588,1588,156,Not Matched,1588 Shipment Value exceeds service limits,new__new__Shipment Value exceeds service limits,new__new__Shipment Value exceeds service limits
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019651+00:00,1592,1592,81,Not Matched,1592 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019651+00:00,1613,1613,95,Not Matched,1613 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019654+00:00,1622,1622,705,Not Matched,1622 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019654+00:00,1624,1624,35,Not Matched,1624 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019655+00:00,1646,1646,4164,Not Matched,1646 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019656+00:00,1648,1648,280,Not Matched,1648 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019656+00:00,613,613,79,Not Matched,613 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019663+00:00,617,617,35,Not Matched,617 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019663+00:00,622,622,102,Not Matched,622 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019664+00:00,626,626,81,Not Matched,626 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019666+00:00,629,629,45,Not Matched,629 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019666+00:00,637,637,243,Not Matched,637 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019667+00:00,644,644,330,Not Matched,644 Code not found,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019668+00:00,657,657,6,Not Matched,657 RETURNS: Customer to collect,Delivery to pick-up point pending,Delivery to pick-up point pending
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019668+00:00,660,660,176,Not Matched,660 Piece not received,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019669+00:00,663,663,215,Not Matched,663 Prepared for export / in transit,In Transit,In Transit
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101967+00:00,670,670,129,Not Matched,670 Flight cancelled,Delay due to flight cancelled or delayed,Delay due to flight cancelled or delayed
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101967+00:00,673,673,513,Not Matched,673 Late arrival of carrier,A late trailer arrival has delayed delivery - Delivery may be delayed by 24 hours,A late trailer arrival has delayed delivery - Delivery may be delayed by 24 hours
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019671+00:00,682,682,16333,Not Matched,682 Destination on holiday,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019674+00:00,693,693,177,Not Matched,693 Waiting for Power of Attorney,Power of attorney documentation missing,Power of attorney documentation missing
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019674+00:00,695,695,1,Not Matched,695 Consignee not registered at Customs,not_clear,Customs clearance in progress
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019675+00:00,700,700,17,Not Matched,700 Others,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019676+00:00,711,711,699,Not Matched,711 Stopped,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019677+00:00,723,723,1231,Not Matched,723 Destination on holiday,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019678+00:00,727,727,166,Not Matched,727 Departed UK facility,Departure Scan,Departure Scan
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019678+00:00,757,757,3323,Not Matched,757 Industrial strikes,Delay due to industrial action,Delay due to industrial action
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019679+00:00,764,764,12,Not Matched,764 Private address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101968+00:00,765,765,434,Not Matched,765 PO Box address,new__Unable to deliver to PO box.,new__Unable to deliver to PO box.
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101968+00:00,774,774,272,Not Matched,774 Consignee on holiday,new__Delivery attempted. Receiver not available for delivery.,new__Delivery attempted. Receiver not available for delivery.
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019681+00:00,786,786,21,Not Matched,786 Consignee did not order the goods,new__Delivery refused.,new__Delivery refused.
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019682+00:00,788,788,388,Not Matched,788 Deadlines,not_clear,not_clear
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019682+00:00,843,843,32,Not Matched,843 Shipment inspection,new__Held for inspection by government agency.,new__Held for inspection by government agency.
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019683+00:00,903,903,112,Not Matched,903 Better Invoice required,new__Additional information or paperwork required for customs clearance.,new__Additional information or paperwork required for customs clearance.
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019686+00:00,945,945,41,Not Matched,945 Send next rotation - restricted item found,new__Shipment on hold due to restricted items.,new__Shipment on hold due to restricted items.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019687+00:00,/,/,2,Not Matched,/,not_clear,not_clear
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019688+00:00,A DELAY HAS OCCURRED DUE TO LATE PROCESSING BY UPS BROKERAGE. WE ARE ADJUSTING DELIVERY PLANS AS QUICKLY AS POSSIBLE.,a delay has occurred due to late processing by ups brokerage we are adjusting delivery plans as quickly as possible,22,Not Matched,a delay has occurred due to late processing by ups brokerage we are adjusting delivery plans as quickly as possible,new__Delay due to operational reasons.,new__Delay due to operational reasons.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019689+00:00,A guaranteed service refund has been requested for this package.,a guaranteed service refund has been requested for this package,64,Not Matched,a guaranteed service refund has been requested for this package,new__new__Guaranteed service refund requested.,new__new__Guaranteed service refund requested.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101969+00:00,/ A guaranteed service refund has been voided for this package.,/ a guaranteed service refund has been voided for this package,6,Not Matched,/ a guaranteed service refund has been voided for this package,new__new__Guaranteed service refund voided.,new__new__Guaranteed service refund voided.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019692+00:00,A guaranteed service refund has been voided for this package.,a guaranteed service refund has been voided for this package,10,Not Matched,a guaranteed service refund has been voided for this package,new__new__Guaranteed service refund voided.,new__new__Guaranteed service refund voided.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019693+00:00,"All merchandise missing, empty carton was discarded. UPS will notify the sender with details of the damage.",all merchandise missing empty carton was discarded ups will notify the sender with details of the damage,8619,Not Matched,all merchandise missing empty carton was discarded ups will notify the sender with details of the damage,new__Package damaged in transit.,new__Package damaged in transit.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019694+00:00,/ All merchandise was not recoverable and was discarded. UPS will notify the sender with details of the damage.,/ all merchandise was not recoverable and was discarded ups will notify the sender with details of the damage,48,Not Matched,/ all merchandise was not recoverable and was discarded ups will notify the sender with details of the damage,new__Package damaged in transit.,new__Package damaged in transit.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019696+00:00,"As requested by the sender, the delivery change for this package was completed.",as requested by the sender the delivery change for this package was completed,58,Not Matched,as requested by the sender the delivery change for this package was completed,new__New instructions received - We updated the delivery information for your package.,new__New instructions received - We updated the delivery information for your package.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019697+00:00,"As requested by the sender, the package will be delivered later than the normal delivery time for your area.",as requested by the sender the package will be delivered later than the normal delivery time for your area,105,Not Matched,as requested by the sender the package will be delivered later than the normal delivery time for your area,new__Delivery rescheduled.,new__Delivery rescheduled.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019699+00:00,"As requested by the sender, this package requires special handling.",as requested by the sender this package requires special handling,132,Not Matched,as requested by the sender this package requires special handling,new__new__Special handling required.,new__new__Special handling required.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.10197+00:00,A work stoppage at the receiver's location has prevented delivery.,a work stoppage at the receiver s location has prevented delivery,12,Not Matched,a work stoppage at the receiver s location has prevented delivery,new__Delivery attempted. Receiver not available for delivery.,new__Delivery attempted. Receiver not available for delivery.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019701+00:00,"Click on ""Get Updates"" to receive email updates on your shipment's progress.",click on get updates to receive email updates on your shipment s progress,377,Not Matched,click on get updates to receive email updates on your shipment s progress,not_clear,not_clear
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019704+00:00,COMMERCIAL INSIDE RELEASE,commercial inside release,3261,Not Matched,commercial inside release,new__new__Commercial inside release.,new__new__Commercial inside release.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019706+00:00,Customer has picked up package at UPS Access Pointâ„¢.,customer has picked up package at ups access point,532,Not Matched,customer has picked up package at ups access point,new__Delivered.,new__Delivered.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019707+00:00,CUSTOMER HAS PICKED UP PACKAGE AT UPS ACCESS POINTâ„¢.,customer has picked up package at ups access point,346,Not Matched,customer has picked up package at ups access point,new__Delivered.,new__Delivered.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019708+00:00,"Damaged merchandise returned, remaining content will be delivered. UPS will notify the sender with details of the damage",damaged merchandise returned remaining content will be delivered ups will notify the sender with details of the damage,786,Not Matched,damaged merchandise returned remaining content will be delivered ups will notify the sender with details of the damage,new__Package damaged in transit.,new__Package damaged in transit.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101971+00:00,Damage investigation currently in progress.,damage investigation currently in progress,690,Not Matched,damage investigation currently in progress,new__new__Damage investigation in progress.,new__new__Damage investigation in progress.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019711+00:00,Delivery Attempted,delivery attempted,63,Not Matched,delivery attempted,Delivery attempted,Delivery attempted
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019712+00:00,Hazardous materials labeling is missing and is required for clearance. We are working to obtain this information.,hazardous materials labeling is missing and is required for clearance we are working to obtain this information,19,Not Matched,hazardous materials labeling is missing and is required for clearance we are working to obtain this information,Missing or incomplete export documentation,Missing or incomplete export documentation
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019713+00:00,Import C.O.D. (ICOD) charges are due for this package. Online payment required at ups.com.,import c o d icod charges are due for this package online payment required at ups com,1486,Not Matched,import c o d icod charges are due for this package online payment required at ups com,Import charges are due,Import charges are due
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019716+00:00,Left at customer's location ,left at customer s location,2,Not Matched,left at customer s location,Delivered,Delivered
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019717+00:00,"Merchandise missing, balance being returned. UPS will notify the sender with details of the damage.",merchandise missing balance being returned ups will notify the sender with details of the damage,1029,Not Matched,merchandise missing balance being returned ups will notify the sender with details of the damage,Package damaged in transit,Package damaged in transit
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101972+00:00,Other driver follow-up.,other driver follow up,8,Not Matched,other driver follow up,not_clear,not_clear
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019722+00:00,Package found ,package found,7,Not Matched,package found,new__new__Package found,new__new__Package found
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019723+00:00,Returned to sender ,returned to sender,2220,Not Matched,returned to sender,Returned to sender,Returned to sender
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019724+00:00,Return to shipper required for compliance reasons,return to shipper required for compliance reasons,633,Not Matched,return to shipper required for compliance reasons,Shipment to be returned,Shipment to be returned
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019725+00:00,Shipper release.,shipper release,5,Not Matched,shipper release,new__new__Shipper release,new__new__Shipper release
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019727+00:00,Signed delivery notice.,signed delivery notice,293,Not Matched,signed delivery notice,new__new__Signed delivery notice,new__new__Signed delivery notice
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019729+00:00,SIGNED DELIVERY NOTICE.,signed delivery notice,292,Not Matched,signed delivery notice,new__new__Signed delivery notice,new__new__Signed delivery notice
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101973+00:00,The address has been corrected.,the address has been corrected,10,Not Matched,the address has been corrected,new__new__Address corrected,new__new__Address corrected
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019732+00:00,The billing option selected is not valid for this package.,the billing option selected is not valid for this package,2112,Not Matched,the billing option selected is not valid for this package,new__new__Invalid billing option,new__new__Invalid billing option
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019733+00:00,THE BILLING OPTION SELECTED IS NOT VALID FOR THIS PACKAGE.,the billing option selected is not valid for this package,1179,Not Matched,the billing option selected is not valid for this package,new__new__Invalid billing option,new__new__Invalid billing option
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019734+00:00,The commodity value of your package exceeds the limit we allow.,the commodity value of your package exceeds the limit we allow,1032,Not Matched,the commodity value of your package exceeds the limit we allow,new__new__Commodity value exceeds limit,new__new__Commodity value exceeds limit
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019736+00:00,The company or receiver name is incorrect. We're working to contact the receiver for information.,the company or receiver name is incorrect we re working to contact the receiver for information,5,Not Matched,the company or receiver name is incorrect we re working to contact the receiver for information,Correct company or receiver name needed for delivery,Correct company or receiver name needed for delivery
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019736+00:00,The contents of the package being returned do not match the description provided by the sender.,the contents of the package being returned do not match the description provided by the sender,5,Not Matched,the contents of the package being returned do not match the description provided by the sender,new__new__Contents mismatch,new__new__Contents mismatch
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019737+00:00,The damaged merchandise is being held at an agent's location. UPS will notify the sender with details of the damage.,the damaged merchandise is being held at an agent s location ups will notify the sender with details of the damage,333,Not Matched,the damaged merchandise is being held at an agent s location ups will notify the sender with details of the damage,Package damaged in transit,Package damaged in transit
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019738+00:00,The damage inspection request has been reissued.,the damage inspection request has been reissued,588,Not Matched,the damage inspection request has been reissued,new__new__Damage inspection request reissued,new__new__Damage inspection request reissued
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019741+00:00,THE DRIVER WAS NOT ABLE TO RECEIVE PAYMENT. A FINAL ATTEMPT WILL BE MADE THE NEXT BUSINESS DAY.,the driver was not able to receive payment a final attempt will be made the next business day,347,Not Matched,the driver was not able to receive payment a final attempt will be made the next business day,Delivery attempted. Unable to collect tax payment.,1st delivery attempt. Unable to collect tax payment.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019742+00:00,The floor number is either missing or incorrect. This may delay delivery. We're attempting to update the address.,the floor number is either missing or incorrect this may delay delivery we re attempting to update the address,368,Not Matched,the floor number is either missing or incorrect this may delay delivery we re attempting to update the address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019743+00:00,/ The information requested has been obtained and the hold has been resolved.,/ the information requested has been obtained and the hold has been resolved,30,Not Matched,/ the information requested has been obtained and the hold has been resolved,new__new__Hold resolved,new__new__Hold resolved
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019744+00:00,"The package contains an unauthorized tobacco commodity, and we are unable to complete the delivery.",the package contains an unauthorized tobacco commodity and we are unable to complete the delivery,74,Not Matched,the package contains an unauthorized tobacco commodity and we are unable to complete the delivery,Unable to deliver,Unable to deliver
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019745+00:00,The package has been sent to UPS Lost and Found.,the package has been sent to ups lost and found,354,Not Matched,the package has been sent to ups lost and found,new__new__Package sent to lost and found,new__new__Package sent to lost and found
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019747+00:00,The package is being processed for clearance.,the package is being processed for clearance,430,Not Matched,the package is being processed for clearance,Processed for clearance,Customs clearance in progress
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101975+00:00,THE PACKAGE WAS GIVEN TO UPS AFTER THE CUTOFF TIME AND THE DELIVERY DATE MAY BE IMPACTED.,the package was given to ups after the cutoff time and the delivery date may be impacted,17,Not Matched,the package was given to ups after the cutoff time and the delivery date may be impacted,Delay due to operational reasons,Delay due to operational reasons
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019751+00:00,/ The receiver has acknowledged receipt of this package.,/ the receiver has acknowledged receipt of this package,57,Not Matched,/ the receiver has acknowledged receipt of this package,Delivered,Delivered
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019752+00:00,The receiver has agreed to accept the delivery charges.,the receiver has agreed to accept the delivery charges,10,Not Matched,the receiver has agreed to accept the delivery charges,Internal activity scan,Internal activity scan
