carrierId,carrierName,fromDate,toDate,scanDescription,normalizedScan,frequency,status
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.738434+00:00,The parcel is held in the local depot,the parcel is held in the local depot,5231,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384517+00:00,Pre-advice loaded from offline QR code,pre advice loaded from offline qr code,5054,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384159+00:00,"International Held in Hub, Missing Info From Invoice [Incomplete Consignment]",international held in hub missing info from invoice incomplete consignment,4911,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383843+00:00,"Delivered (left at , Unit 10), received by JIM",delivered left at unit 10 received by jim,4553,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383746+00:00,Customer Authorisation image available,customer authorisation image available,4323,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383459+00:00,776,776,4257,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384674+00:00,"Delivery updated - Package at station, arrived after courier dispatch.",delivery updated package at station arrived after courier dispatch,4236,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383416+00:00,1553,1553,3734,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383351+00:00,1043,1043,3637,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384463+00:00,Damaged after Depot returns sort,damaged after depot returns sort,3508,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383714+00:00,Your package was reported as damaged. It has been left with the receiver and UPS will share further details with the sender.,your package was reported as damaged it has been left with the receiver and ups will share further details with the sender,3365,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383704+00:00,Your package is being held until the requested delivery date.,your package is being held until the requested delivery date,3362,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383691+00:00,Your package exceeds the maximum dimensions we can accept.,your package exceeds the maximum dimensions we can accept,3344,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383454+00:00,757,757,3323,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383504+00:00,COMMERCIAL INSIDE RELEASE,commercial inside release,3261,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384412+00:00,Xray of parcel carried out,xray of parcel carried out,3220,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384495+00:00,In Hub - Parcel expired,in hub parcel expired,3138,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383687+00:00,Your package contains a commodity that cannot be shipped internationally.,your package contains a commodity that cannot be shipped internationally,3003,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384688+00:00,On the way - Your package may be late- local delivery restrictions,on the way your package may be late local delivery restrictions,2986,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.738372+00:00,Your shipment may arrive today after the delivery commitment time due to severe weather.,your shipment may arrive today after the delivery commitment time due to severe weather,2967,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383671+00:00,We've left a notice about the package.,we ve left a notice about the package,2926,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384475+00:00,Delivered - BFPO HQ UK,delivered bfpo hq uk,2807,Not Matched
a1630cac-f11e-45eb-ba58-de00a0c48748,DHL UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384603+00:00,Depart Facility,depart facility,2783,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384531+00:00,Return has been processed at the Hermes hub and will be with the retailer shortly,return has been processed at the hermes hub and will be with the retailer shortly,2668,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384156+00:00,"International Held in Hub, Booked In [Missed Connection]",international held in hub booked in missed connection,2626,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.738455+00:00,"The ParcelShop hasn’t received this parcel as expected, please allow 24hrs for an update",the parcelshop hasn t received this parcel as expected please allow 24hrs for an update,2626,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384082+00:00,Delivery to DPD Pickup Shop not possible Collect from Pickup Apology SMS notification sent,delivery to dpd pickup shop not possible collect from pickup apology sms notification sent,2613,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.738365+00:00,UPS was unable to deliver the package. The merchandise will be disposed of or surrendered to Customs.,ups was unable to deliver the package the merchandise will be disposed of or surrendered to customs,2574,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383382+00:00,1436,1436,2520,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.738464+00:00,Delay - Unable to contact recipient for broker info.,delay unable to contact recipient for broker info,2436,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384506+00:00,Parcel disposed of due to exceeding maximum shelf-life,parcel disposed of due to exceeding maximum shelf life,2408,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384443+00:00,I540,i540,2387,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383439+00:00,625,625,2378,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383557+00:00,"The company or receiver name is incorrect. Please resolve this using the ""Change My Delivery"" button to resume the transit journey.",the company or receiver name is incorrect please resolve this using the change my delivery button to resume the transit journey,2363,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383383+00:00,1437,1437,2350,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.738445+00:00,IHWA,ihwa,2341,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383385+00:00,1439,1439,2317,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384451+00:00,IPAX,ipax,2221,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383536+00:00,Returned to sender ,returned to sender,2220,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383608+00:00,The sender requested that we return the package.,the sender requested that we return the package,2217,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384426+00:00,I162,i162,2203,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384464+00:00,Damaged after Depot sort,damaged after depot sort,2174,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384661+00:00,Delivery option request cancelled,delivery option request cancelled,2165,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383755+00:00,"Delivered (left at 11, ), received by HAMPTON",delivered left at 11 received by hampton,2148,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384327+00:00,Shipment unvoided,shipment unvoided,2132,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383548+00:00,The billing option selected is not valid for this package.,the billing option selected is not valid for this package,2112,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383897+00:00,Delivered to requested DPD Pickup Locker,delivered to requested dpd pickup locker,2084,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384081+00:00,Delivery to DPD Pickup Shop not possible Collect from Pickup Apology SMS & Collect from Pickup Apology e-mail notification sent,delivery to dpd pickup shop not possible collect from pickup apology sms collect from pickup apology e mail notification sent,2064,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384243+00:00,Picked up from DPD Pickup Locker,picked up from dpd pickup locker,2041,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383591+00:00,The receiver has acknowledged receipt of this package.,the receiver has acknowledged receipt of this package,2029,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383527+00:00,Package resubmitted to Clearing Agency for clearance.,package resubmitted to clearing agency for clearance,1993,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383679+00:00,We were unable to deliver your package. It's on the way to a UPS Access Point™ location next business day for pick up.,we were unable to deliver your package it s on the way to a ups access point location next business day for pick up,1947,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383398+00:00,1502,1502,1876,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383567+00:00,The damage inspection request has been changed.,the damage inspection request has been changed,1876,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384298+00:00,Redelivery request (service upgrade) made for Sun 16 June 2024 between 07:00 and 22:00 Upgrade Acknowledgement SMS notification sent,redelivery request service upgrade made for sun 16 june 2024 between 07 00 and 22 00 upgrade acknowledgement sms notification sent,1874,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383453+00:00,754,754,1849,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383543+00:00,The address label became detached from the package. The sender will be notified.,the address label became detached from the package the sender will be notified,1821,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383586+00:00,The package was discarded at the sender's request. Please contact the sender for details.,the package was discarded at the sender s request please contact the sender for details,1798,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384471+00:00,Damaged after Pshop driver collection,damaged after pshop driver collection,1777,Not Matched
a1630cac-f11e-45eb-ba58-de00a0c48748,DHL UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384586+00:00,Arrived Facility,arrived facility,1752,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383764+00:00,"Delivered (left at 195, ), received by TOOLSTATION",delivered left at 195 received by toolstation,1746,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384539+00:00,Stolen Parcel,stolen parcel,1742,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384497+00:00,Locker Full,locker full,1703,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384698+00:00,Shipment exception - Unacceptable or incompatible Hazardous material.,shipment exception unacceptable or incompatible hazardous material,1698,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383766+00:00,"Delivered (left at 2, ), received by JONES",delivered left at 2 received by jones,1690,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384527+00:00,Return has been processed at the Evri depot and will be with the retailer shortly,return has been processed at the evri depot and will be with the retailer shortly,1650,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.73834+00:00,1505,1505,1640,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384442+00:00,I533,i533,1620,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383516+00:00,Generally prohibited item identified in package contents that does not comply with UPS policies and procedures,generally prohibited item identified in package contents that does not comply with ups policies and procedures,1615,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384408+00:00,"We attempted to deliver the parcel, however there was no one present to sign for it",we attempted to deliver the parcel however there was no one present to sign for it,1615,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384628+00:00,Arrived at FedEx location,arrived at fedex location,1577,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383537+00:00,Saturday guaranteed service is not available in the destination Zip code.,saturday guaranteed service is not available in the destination zip code,1567,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384557+00:00,Van held - Locker access problem,van held locker access problem,1566,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384674+00:00,Delivery updated - Your package may be late- local delivery restrictions,delivery updated your package may be late local delivery restrictions,1542,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383845+00:00,"Delivered (left at Unit 15), received by BEN",delivered left at unit 15 received by ben,1526,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383754+00:00,"Delivered (left at 1 The Garden), received by JACOB SARAHA",delivered left at 1 the garden received by jacob saraha,1516,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384+00:00,Delivery note printed,delivery note printed,1514,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384485+00:00,Divert to Parcel Shop OR Locker -  processed in UP,divert to parcel shop or locker processed in up,1502,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383409+00:00,1543,1543,1487,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384667+00:00,Delivery updated,delivery updated,1454,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384542+00:00,Stop and Return - Customer Request ,stop and return customer request,1439,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383757+00:00,"Delivered (left at 11, ), received by LLOYD D",delivered left at 11 received by lloyd d,1433,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383846+00:00,"Delivered (left at Unit 2, Jm clark), received by ASAL",delivered left at unit 2 jm clark received by asal,1425,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383788+00:00,"Delivered (left at 48, ), received by NEWTON",delivered left at 48 received by newton,1408,Not Matched
